product_id,product_hs92_code,year,export_value,import_value,pci
834,2205,1995,289322947,289322947,-0.655
835,2206,1995,245549721,245549721,0.11
836,2207,1995,1588787671,1588787671,-0.607
837,2208,1995,10782208389,10782208389,-0.87
838,2209,1995,114020521,114020521,-0.238
839,2301,1995,2455841298,2455841298,-1.506
840,2302,1995,503978961,503978961,-1.624
841,2303,1995,1625276856,1625276856,-0.462
842,2304,1995,5258067307,5258067307,-0.468
843,2305,1995,82532767,82532767,-1.858
844,2306,1995,1308034689,1308034689,-1.786
845,2307,1995,15659816,15659816,-0.135
846,2308,1995,377201047,377201047,-0.68
847,2309,1995,6707458911,6707458911,-0.351
848,2401,1995,5076297975,5076297975,-1.681
849,2402,1995,15314669949,15314669949,-0.642
850,2403,1995,1472862600,1472862600,0.127
851,2501,1995,823661858,823661858,-0.929
852,2502,1995,39297620,39297620,0.659
853,2503,1995,918606494,918606494,-1.147
854,2504,1995,177448268,177448268,-0.787
855,2505,1995,679502817,679502817,-0.493
856,2506,1995,123116170,123116170,-0.272
857,2507,1995,1305792671,1305792671,-0.018
858,2508,1995,784281802,784281802,-0.101
859,2509,1995,96000403,96000403,-0.269
860,2510,1995,1139480372,1139480372,-1.053
861,2511,1995,153836537,153836537,-1.34
862,2512,1995,113934279,113934279,0.163
863,2513,1995,160791301,160791301,-0.744
864,2514,1995,53582413,53582413,0.165
865,2515,1995,337544480,337544480,-1.347
866,2516,1995,874283240,874283240,-1.095
867,2517,1995,1020548445,1020548445,0.041
868,2518,1995,169847122,169847122,-0.108
869,2519,1995,936059070,936059070,0.188
870,2520,1995,457237007,457237007,-0.699
871,2521,1995,165978954,165978954,0.253
872,2522,1995,272769433,272769433,-0.165
873,2523,1995,4291290962,4291290962,-0.922
874,2524,1995,436590042,436590042,-1.121
875,2525,1995,63576814,63576814,-0.249
876,2526,1995,357987866,357987866,0.405
877,2527,1995,7651579,7651579,-0.49
878,2528,1995,181383536,181383536,-1.469
879,2529,1995,394853260,394853260,-0.749
880,2530,1995,746820370,746820370,-0.836
881,2601,1995,8463008032,8463008032,-1.043
882,2602,1995,536709981,536709981,-1.644
883,2603,1995,6349551146,6349551146,-1.786
884,2604,1995,278495240,278495240,-0.765
885,2605,1995,34321844,34321844,-0.047
886,2606,1995,974813753,974813753,-1.529
887,2607,1995,450104596,450104596,-0.936
888,2608,1995,1703357188,1703357188,-0.803
889,2609,1995,198658300,198658300,-2.677
890,2610,1995,315494896,315494896,-2.167
891,2611,1995,49320359,49320359,-1.134
892,2612,1995,157236460,157236460,-1.528
893,2613,1995,1522936547,1522936547,-0.534
894,2614,1995,453622261,453622261,-1.165
895,2615,1995,371123498,371123498,-2.068
896,2616,1995,444818892,444818892,-1.433
897,2617,1995,151144528,151144528,-1.722
898,2618,1995,129504704,129504704,1.027
899,2619,1995,140415208,140415208,-0.148
900,2620,1995,1064370985,1064370985,-0.559
901,2621,1995,114629352,114629352,0.056
902,2701,1995,18153364294,18153364294,-0.418
903,2702,1995,302171340,302171340,-0.202
904,2703,1995,480600471,480600471,0.514
905,2704,1995,2133913278,2133913278,-0.281
906,2705,1995,5123464,5123464,0.097
907,2706,1995,127644824,127644824,0.288
908,2707,1995,2254170159,2254170159,-0.182
909,2708,1995,323452104,323452104,0.588
910,2709,1995,166686997430,166686997430,-2.368
911,2710,1995,100335686273,100335686273,-1.209
912,2711,1995,34016578001,34016578001,-1.26
913,2712,1995,944420542,944420542,-0.307
914,2713,1995,2194299531,2194299531,-0.426
915,2714,1995,239354040,239354040,-1.139
916,2715,1995,271399136,271399136,-0.002
917,2716,1995,7547625925,7547625925,-0.141
918,2801,1995,347178144,347178144,0.128
919,2802,1995,98848134,98848134,0.04
920,2803,1995,1033759505,1033759505,0.339
921,2804,1995,2159057502,2159057502,-0.155
922,2805,1995,259140575,259140575,-0.77
923,2806,1995,108849947,108849947,0.206
924,2807,1995,334632776,334632776,-0.202
925,2808,1995,92413974,92413974,0.727
926,2809,1995,1356285340,1356285340,-0.476
927,2810,1995,175104606,175104606,-0.269
928,2811,1995,1261056110,1261056110,0.474
929,2812,1995,148143103,148143103,1.603
930,2813,1995,88803252,88803252,0.445
931,2814,1995,2201389088,2201389088,-0.963
932,2815,1995,1843441117,1843441117,0.001
933,2816,1995,100518248,100518248,0.436
934,2817,1995,320835436,320835436,0.497
935,2818,1995,4208797407,4208797407,-0.733
936,2819,1995,180721055,180721055,0.283
937,2820,1995,209658677,209658677,-0.361
938,2821,1995,614594487,614594487,1.158
939,2822,1995,266878802,266878802,-0.514
940,2823,1995,924636842,924636842,0.878
941,2824,1995,157621667,157621667,0.112
942,2825,1995,1285566078,1285566078,0.013
943,2826,1995,404427830,404427830,0.142
944,2827,1995,776921135,776921135,0.794
945,2828,1995,221385417,221385417,-0.405
946,2829,1995,363792050,363792050,1.009
947,2830,1995,183145956,183145956,-0.074
948,2831,1995,144435169,144435169,0.702
949,2832,1995,164079467,164079467,0.342
950,2833,1995,933153114,933153114,-0.245
951,2834,1995,384607552,384607552,-0.042
952,2835,1995,1340938809,1340938809,0.249
953,2836,1995,1894035968,1894035968,-0.268
954,2837,1995,287263464,287263464,0.806
